tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
181	إذا كان سؤالكم عن سبب الارتفاع فهو بسبب وجود أكثر من ٧٠ مصاب حاملين للجنسية التركية وهم الأن تحت رعاية وزارة الصحة يعاملون معاملة أبناء الوطن التركيز على #السعودية يعكس مدى الخبث والحقد الذي بداخلكم الذي يظهر جلياً بهذه التغريدة التى تمثل حالتكم التي لا علاج لها	yes	yes	yes	yes	yes	yes	yes
182	#كورونا راحت تقابل #كورونا 😊ً URL	no	nan	nan	nan	nan	no	no
183	الأخ #فيصل_القاسم هل لازلت ترغب في الذهاب إلى بريطانيا 😊 #كورونا  USERID URL	no	nan	nan	nan	nan	yes	yes
184	هل تعلم بأن 33٪ من المصابين بـ #كورونا_الجديد في السعودية بسبب التقارب الاجتماعي  لسلامتك ولصحة المجتمع ابقى في منزلك URL	yes	no	yes	no	no	no	no
185	الصين الدولة الوحيدة التي إنحسر فيها #كورونا بسبب الاجرائات الصارمة أرسلت فريق طبي كبير لمساعدة ايطاليا. في المؤتمر الصحفي بميلانو تحدث الصينيين عن عدة نقاط لازالت تقتل الايطاليين وأهمها التهاون بتطبيق الحجر المنزلي. السعيد من اتعظ بغيره ..  URL	yes	no	yes	no	no	no	no
186	سؤال للجميع   من كان يهاجم شركات المرأعي والشركات السعودية الأخر   👇🏻  المقطع اليوم في عز أزمة كورونا   من كان المستفيد من هذا الهجوم على الشركات السعودية العملاقه ولمصلحة من 😎🤔  #عز_يابلاد 🇸🇦 URL	no	nan	nan	nan	nan	yes	yes
187	قوات الكيان التركي تقوم بالاعتداء على نساء وأطفال السودان في مطار اسطنبول  ●وأوامر الإعلام قطر بالامتناع من الحديث في الأمر.  ■هذا وقد وصل عدد المصابين في فايروس #كورونا في تركيا الالآف ولهذا قامت الهند بمنع السفر أو استقبال أي طائرة من تركيا. #ضرب_سودانيين_بمطار_تركيا #امجد_طه URL	yes	yes	yes	yes	yes	yes	yes
188	وزير الاتصالات يقول لكم: 16 خدمة بريدية في خدمتكم… 12 تطبيق توصيل يساعدكم… لن ينقصكم شيء مع هذه الخدمات والتطبيقات… أبقى آمناً في منزلك… والتطبيقات تخدمك👌 #امر_ملكي	yes	no	yes	no	no	no	no
189	رجل أمن يوجه نصيحة لشبان خرجوا في رحلة برية متجاهلين التحذيرات المتكررة. #كورونا URL	yes	no	yes	no	no	no	no
190	خلافاً لطلبك الذي ينم عن عقل صغير تريد اجتماع على طاولة وقت #كورونا إلا أني أسألك سؤال منذ انقلاب حمد على والده وكل عام يجلس قادة الخليج معكم هل منعكم ذلك من الغدر أو من الخيانة؟! من يجلس معكم كمن يجلس مع الثعابين ويطلب السلامة!!	no	nan	nan	nan	nan	yes	yes
191	بعد أقل من 10 أيام من هذه التغريدة..ألقى #اردوغان خطاب “صوتي” وهو مختبئ وناشد شعبه البقاء في منازلهم وتم الإعلان عن 21 وفاة بسبب #كورونا ..هذا جزاء شماتتهم URL	yes	yes	nan	yes	no	yes	yes
192	احصائيات كورونا العالمية التي كنا نشاهدها خلال شهر اصبحنا نشاهدها خلال اسبوع وهذا مايفسر بان القادم اصعب عالمياً .. من يدري لعل الله اراد ايقاف شر اعظم منه .. كل ماعلينا الان هو التكاتف لتطبيق تعاليم الدولة حرفياً فهي من اجل حياتنا ، فخطاب الملك “حفظه الله” يوم امس واضح وصريح ،،،	no	nan	nan	nan	nan	no	no
193	أشكر إخواني الخطباء والأئمة والمؤذنين بمملكتنا الغالية على تطبيقهم كافة الإجراءات الاحترازيةالتي نفذتها الوزارة مواكبة لجهود القيادة الرشيدة في التصدي لفايروس #كورونا مستشعرين بذلك الواجب الشرعي تجاه دينهم ووطنهم وقيادتهم وعظم المسئولية في الحفاظ على صحة المواطنين والمقيمين .	no	nan	nan	nan	nan	no	no
194	#خادم_الحرمين_الشريفين : وإذ نشكر كل الجهات على جهودها، ونخص العاملين في المجال الصحي، أولئك الذي يقدمون جهوداً جليلةً للمحافظة على صحة المواطن والمقيم، باذلين نفوسهم في مواجهة هذه المرحلة الدقيقة. #كورونا #كلنا_مسؤولون #النيابة_العامة URL	no	nan	nan	nan	nan	no	no
195	سمو #ولي_العهد يتلقى اتصالين من المستشارة الألمانية ورئيس كوريا الجنوبية للحديث حول مكافحة انتشار وباء كورونا المستجد، وذلك استكمالا لاتصالات سابقة مع رؤساء عدد من الدول. URL	yes	no	no	no	no	no	no
196	وزارة التجارة #السعودية تقطع الطريق على عمالة وافدة كانت تنوي بيع 140 ألف كمامة طبية بأسعار مرتفعة في السوق السوداء استغلالا لأزمة #كورونا URL	yes	no	yes	no	yes	yes	yes
197	عاجل 🔴  .  .  وزير الصحة :   بدأنا باستخدام علاج الملاريا لعلاج بعض المصابين بفيروس كورونا في المملكة . .  . #السعوديه	yes	no	yes	no	no	no	no
198	المتحدث بإسم وزارة الصحة:  * تسجيل ١١٩ إصابة جديدة بفيروس كورونا اليوم وإجمالي الحالات يصل إلى ٥١١ حالة.   * ٧ قادمين من الخارج * ٧٢ من الجنسية التركية  * ٤٠ بسبب المخالطة * تم إجراء ٢٣٠٠٠ الف فحص مخبري * حالات التعافي ١٧ حالة	yes	no	yes	no	no	no	no
